Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
V. Yarovenko	2022	CONF	2022 4th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC)	No encontrado	No encontrado	No encontrado	0
R. Saranya	2023	CONF	2023 6th International Conference on Contemporary Computing and Informatics (IC3I)	No encontrado	No encontrado	No encontrado	0
Liu Xubo	2011	CONF	2011 International Conference on Electric Information and Control Engineering	No encontrado	No encontrado	No encontrado	0
J. Yang	2012	CONF	2012 7th International Conference on Computer Science & Education (ICCSE)	No encontrado	No encontrado	No encontrado	0
S. Xiaosu	2024	CONF	2024 IEEE 3rd International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)	No encontrado	No encontrado	No encontrado	0
C. E. Vergara	2012	CONF	2012 Frontiers in Education Conference Proceedings	No encontrado	No encontrado	No encontrado	0
K. A. Sorudeykin	2011	CONF	2011 9th East-West Design & Test Symposium (EWDTS)	No encontrado	No encontrado	No encontrado	0
H. Ito	2020	CONF	2020 15th Conference on Computer Science and Information Systems (FedCSIS)	No encontrado	No encontrado	No encontrado	0
S. Datta	2019	CONF	2019 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
S. Aoki	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
J. Togelius	2016	CONF	2016 IEEE Conference on Computational Intelligence and Games (CIG)	No encontrado	No encontrado	No encontrado	0
A. Horzyk	2016	CONF	2016 IEEE Symposium Series on Computational Intelligence (SSCI)	No encontrado	No encontrado	No encontrado	0
S. S. Priya	2023	CONF	2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)	No encontrado	No encontrado	No encontrado	0
T. Hirashima	2017	CONF	2017 3rd International Conference on Science in Information Technology (ICSITech)	No encontrado	No encontrado	No encontrado	0
K. Kemavuthanon	2024	CONF	2024 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)	No encontrado	No encontrado	No encontrado	0
J. Nasir	2020	CONF	2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)	No encontrado	No encontrado	No encontrado	0
S. Trilles	2022	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	No encontrado	No encontrado	No encontrado	0
A. Zeevaarders	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
M. M. Rahman	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
C. Boya-Lara	2023	CONF	2023 IEEE World Engineering Education Conference (EDUNINE)	No encontrado	No encontrado	No encontrado	0
A. Arslanyilmaz	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
X. Chai	2024	JOUR	Tsinghua Science and Technology	No encontrado	No encontrado	No encontrado	0
A. Casali	2018	CONF	2018 XIII Latin American Conference on Learning Technologies (LACLO)	No encontrado	No encontrado	No encontrado	0
A. Samuel	2022	CONF	2022 13th International Conference on Computing Communication and Networking Technologies (ICCCNT)	No encontrado	No encontrado	No encontrado	0
B. J. Wiltgen	2019	JOUR	IBM Journal of Research and Development	No encontrado	No encontrado	No encontrado	0
S. Gross	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
K. Murakata	2011	CONF	2011 IEEE International Conference on Systems, Man, and Cybernetics	No encontrado	No encontrado	No encontrado	0
J. Végh	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
M. Helms	2016	CONF	2016 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
E. Tóth-Laufer	2018	CONF	2018 IEEE 16th International Symposium on Intelligent Systems and Informatics (SISY)	No encontrado	No encontrado	No encontrado	0
T. A. K. Zakian	2019	CONF	2019 IEEE International Parallel and Distributed Processing Symposium (IPDPS)	No encontrado	No encontrado	No encontrado	0
A. Addone	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
Y. Wang	2020	CONF	2020 4th International Conference on Trends in Electronics and Informatics (ICOEI)(48184)	No encontrado	No encontrado	No encontrado	0
C. -F. Hu	2014	CONF	2014 International Conference on Teaching and Learning in Computing and Engineering	No encontrado	No encontrado	No encontrado	0
C. Chao	2013	CONF	2013 Chinese Automation Congress	No encontrado	No encontrado	No encontrado	0
Ping Yang	2009	CONF	2009 4th International Conference on Computer Science & Education	No encontrado	No encontrado	No encontrado	0
X. Yang	2022	CONF	2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)	No encontrado	No encontrado	No encontrado	0
D. Valluru	2023	CONF	2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)	No encontrado	No encontrado	No encontrado	0
V. Dhanoa	2023	JOUR	IEEE Transactions on Visualization and Computer Graphics	No encontrado	No encontrado	No encontrado	0
A. J. Dios	2010	CONF	2010 IEEE 12th International Conference on High Performance Computing and Communications (HPCC)	No encontrado	No encontrado	No encontrado	0
A. M. Saghiri	2020	CONF	2020 6th International Conference on Web Research (ICWR)	No encontrado	No encontrado	No encontrado	0
Z. Li	2020	CONF	2020 IEEE International Conference on Data Mining (ICDM)	No encontrado	No encontrado	No encontrado	0
I. Z. Bargury	2012	CONF	2012 Frontiers in Education Conference Proceedings	No encontrado	No encontrado	No encontrado	0
M. Sharples	2023	JOUR	IEEE Annals of the History of Computing	No encontrado	No encontrado	No encontrado	0
E. B. Mbaya	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. R. Hurson	2010	CONF	2010 IEEE Transforming Engineering Education: Creating Interdisciplinary Skills for Complex Global Environments	No encontrado	No encontrado	No encontrado	0
L. P. Khan	2023	CONF	2023 International Conference on Computational Intelligence and Sustainable Engineering Solutions (CISES)	No encontrado	No encontrado	No encontrado	0
W. Rui	2011	CONF	2011 International Conference on E-Business and E-Government (ICEE)	No encontrado	No encontrado	No encontrado	0
R. Bahati	2013	CONF	Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems	No encontrado	No encontrado	No encontrado	0
M. -F. CRAINIC	2019	CONF	2019 IEEE 13th International Symposium on Applied Computational Intelligence and Informatics (SACI)	No encontrado	No encontrado	No encontrado	0
M. M. Abdulghani	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
P. Saariluoma	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
L. Gren	2017	CONF	2017 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
S. Ingram	2021	CONF	2021 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
M. M. Abdulghani	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
B. Beckwith	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
R. Z. Cheng	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
M. Yilmaz	2023	CONF	2023 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
F. X. Bogner	2018	CONF	2018 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
A. Ebrahimi	2021	CONF	2021 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
L. Harter	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
K. Shrum	2016	CONF	2016 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
P. d. L. Sobreira	2020	CONF	2020 IEEE World Conference on Engineering Education (EDUNINE)	No encontrado	No encontrado	No encontrado	0
M. Cápay	2014	CONF	2014 International Conference on Interactive Collaborative Learning (ICL)	No encontrado	No encontrado	No encontrado	0
S. Kimothi	2023	CONF	2023 International Conference on Advancement in Computation & Computer Technologies (InCACCT)	No encontrado	No encontrado	No encontrado	0
B. Hu	2012	CONF	2012 International Conference on Computer Science and Service System	No encontrado	No encontrado	No encontrado	0
M. Mallick	2021	CONF	2021 International Conference on Control, Automation and Information Sciences (ICCAIS)	No encontrado	No encontrado	No encontrado	0
Liu QingSong	2009	CONF	2009 IEEE International Conference on Intelligent Computing and Intelligent Systems	No encontrado	No encontrado	No encontrado	0
G. Li	2010	CONF	2010 International Conference on Measuring Technology and Mechatronics Automation	No encontrado	No encontrado	No encontrado	0
G. Jansen	2019	CONF	2019 IEEE International Conference on Big Data (Big Data)	No encontrado	No encontrado	No encontrado	0
A. A. Minai	2009	CONF	2009 International Joint Conference on Neural Networks	No encontrado	No encontrado	No encontrado	0
J. R. Byrne	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
F. Li	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
C. -U. Yeom	2018	CONF	2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)	No encontrado	No encontrado	No encontrado	0
Y. Gao	2020	CONF	2020 International Conference on Culture-oriented Science & Technology (ICCST)	No encontrado	No encontrado	No encontrado	0
H. Song	2023	CONF	2023 IEEE International Conference on Control, Electronics and Computer Technology (ICCECT)	No encontrado	No encontrado	No encontrado	0
Q. Xing	2023	CONF	2023 3rd International Conference on Educational Technology (ICET)	No encontrado	No encontrado	No encontrado	0
E. Nagy	2022	CONF	2022 IEEE 10th Jubilee International Conference on Computational Cybernetics and Cyber-Medical Systems (ICCC)	No encontrado	No encontrado	No encontrado	0
D. Parmar	2016	CONF	2016 IEEE Virtual Reality (VR)	No encontrado	No encontrado	No encontrado	0
P. Hubwieser	2015	CONF	2015 International Conference on Learning and Teaching in Computing and Engineering	No encontrado	No encontrado	No encontrado	0
R. S. Rodrigues	2016	CONF	2016 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
P. S. C. Santos	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
S. Isabelle M. L.	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
C. Fritz	2022	JOUR	Computer	No encontrado	No encontrado	No encontrado	0
E. C. Oliveira	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
T. Y. Sim	2021	CONF	2021 IEEE International Conference on Computing (ICOCO)	No encontrado	No encontrado	No encontrado	0
I. R. Adeyemi	2014	CONF	2014 International Symposium on Biometrics and Security Technologies (ISBAST)	No encontrado	No encontrado	No encontrado	0
L. Horváth	2010	CONF	IECON 2010 - 36th Annual Conference on IEEE Industrial Electronics Society	No encontrado	No encontrado	No encontrado	0
J. C. K. H. Riedel	2011	CONF	2011 17th International Conference on Concurrent Enterprising	No encontrado	No encontrado	No encontrado	0
A. -F. Lai	2015	CONF	2015 IEEE 15th International Conference on Advanced Learning Technologies	No encontrado	No encontrado	No encontrado	0
F. V. Kowalski	2012	CONF	2012 Frontiers in Education Conference Proceedings	No encontrado	No encontrado	No encontrado	0
Z. Zainuddin	2013	CONF	Proceedings of 2013 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	No encontrado	No encontrado	No encontrado	0
Peiling Zhang	2010	CONF	2010 2nd International Conference on Education Technology and Computer	No encontrado	No encontrado	No encontrado	0
Y. Jiang	2020	CONF	2020 4th International Conference on Electronics, Communication and Aerospace Technology (ICECA)	No encontrado	No encontrado	No encontrado	0
Manli Li	2011	CONF	2011 International Conference on Business Management and Electronic Information	No encontrado	No encontrado	No encontrado	0
G. Thiyagarajan	2021	CONF	2021 2nd International Conference on Communication, Computing and Industry 4.0 (C2I4)	No encontrado	No encontrado	No encontrado	0
Y. Xue	2020	CONF	2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)	No encontrado	No encontrado	No encontrado	0
L. Horváth	2011	CONF	2011 IEEE 7th International Symposium on Intelligent Signal Processing	No encontrado	No encontrado	No encontrado	0
H. Sun	2021	CONF	2021 IEEE Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)	No encontrado	No encontrado	No encontrado	0
Q. Dong	2023	CONF	2023 International Conference on Computer Engineering and Distance Learning (CEDL)	No encontrado	No encontrado	No encontrado	0
X. Zhang	2009	CONF	2009 First International Workshop on Education Technology and Computer Science	No encontrado	No encontrado	No encontrado	0
C. Xue	2020	CONF	2020 13th International Conference on Intelligent Computation Technology and Automation (ICICTA)	No encontrado	No encontrado	No encontrado	0
K. McMaster	2010	CONF	2010 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
S. Saenboonsong	2024	CONF	2024 9th International STEM Education Conference (iSTEM-Ed)	No encontrado	No encontrado	No encontrado	0
R. D. Handayani	2022	CONF	2022 8th International Conference on Education and Technology (ICET)	No encontrado	No encontrado	No encontrado	0
Y. Wang	2023	CONF	2023 13th International Conference on Information Technology in Medicine and Education (ITME)	No encontrado	No encontrado	No encontrado	0
L. Liao	2017	CONF	2017 International Symposium on Educational Technology (ISET)	No encontrado	No encontrado	No encontrado	0
K. H. Koh	2014	CONF	2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
X. Zhou	2023	CONF	2023 5th International Workshop on Artificial Intelligence and Education (WAIE)	No encontrado	No encontrado	No encontrado	0
L. D. Miller	2013	CONF	2013 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
J. Liu	2022	CONF	2022 4th International Conference on Computer Science and Technologies in Education (CSTE)	No encontrado	No encontrado	No encontrado	0
I. Vlahović	2023	CONF	2023 46th MIPRO ICT and Electronics Convention (MIPRO)	No encontrado	No encontrado	No encontrado	0
N. Ahmadi	2012	CONF	2012 IEEE 12th International Conference on Advanced Learning Technologies	No encontrado	No encontrado	No encontrado	0
B. -H. Chen	2021	CONF	2021 IEEE 3rd Eurasia Conference on IOT, Communication and Engineering (ECICE)	No encontrado	No encontrado	No encontrado	0
S. Swaid	2019	CONF	2019 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
Boqin Liu	2014	CONF	2014 9th International Conference on Computer Science & Education	No encontrado	No encontrado	No encontrado	0
F. Yu	2019	CONF	2019 10th International Conference on Information Technology in Medicine and Education (ITME)	No encontrado	No encontrado	No encontrado	0
A. Repenning	2016	CONF	2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
N. Dehbozorgi	2024	CONF	2024 IEEE Integrated STEM Education Conference (ISEC)	No encontrado	No encontrado	No encontrado	0
M. Zhao	2022	CONF	2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)	No encontrado	No encontrado	No encontrado	0
T. Nakamura	2019	CONF	2019 International Joint Conference on Information, Media and Engineering (IJCIME)	No encontrado	No encontrado	No encontrado	0
Z. Deng	2009	CONF	2009 4th International Conference on Computer Science & Education	No encontrado	No encontrado	No encontrado	0
E. Karakaş	2020	CONF	2020 Turkish National Software Engineering Symposium (UYMS)	No encontrado	No encontrado	No encontrado	0
R. Ismail	2022	CONF	2022 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
T. Turchi	2016	CONF	2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
C. -C. Hu	2022	CONF	2022 24th International Conference on Advanced Communication Technology (ICACT)	No encontrado	No encontrado	No encontrado	0
T. Xue	2024	CONF	2024 International Symposium on Educational Technology (ISET)	No encontrado	No encontrado	No encontrado	0
R. P. Curasma	2019	CONF	2019 IEEE XXVI International Conference on Electronics, Electrical Engineering and Computing (INTERCON)	No encontrado	No encontrado	No encontrado	0
X. Zhou	2011	CONF	2011 International Conference on E-Business and E-Government (ICEE)	No encontrado	No encontrado	No encontrado	0
A. Jung	2017	CONF	2017 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	No encontrado	No encontrado	No encontrado	0
N. A. Nunez	2020	CONF	2020 IEEE ANDESCON	No encontrado	No encontrado	No encontrado	0
A. Muñoz del Castillo	2019	CONF	2019 XIV Latin American Conference on Learning Technologies (LACLO)	No encontrado	No encontrado	No encontrado	0
Y. Wang	2021	CONF	2021 International Conference on Education, Information Management and Service Science (EIMSS)	No encontrado	No encontrado	No encontrado	0
M. Philip	2013	CONF	2013 IEEE International Conference in MOOC, Innovation and Technology in Education (MITE)	No encontrado	No encontrado	No encontrado	0
A. Bauer	2015	CONF	2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond)	No encontrado	No encontrado	No encontrado	0
A. Repenning	2014	JOUR	IEEE Computer Graphics and Applications	No encontrado	No encontrado	No encontrado	0
T. Carvalho	2013	CONF	2013 2nd Workshop-School on Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
S. -Y. Wu	2018	CONF	2018 1st International Cognitive Cities Conference (IC3)	No encontrado	No encontrado	No encontrado	0
J. Zhang	2023	CONF	2023 International Symposium on Educational Technology (ISET)	No encontrado	No encontrado	No encontrado	0
